,id,mode,fluid,Pr_min,Pr_max,G_min,G_max,D_min,D_max,tube_type,nu_f_min,nu_f_max,nu_g_min,nu_g_max,Sur_ten_f_min,Sur_ten_f_max,rho_f_min,rho_f_max,rho_g_min,rho_g_max,deviation
0,1,0,,,,1.493821332,2707.853032,1.49,25.8418,1,3.31E-07,0.000271716,4.32E-06,1.41E-05,,,815,1000,1.291347805,4.233957576,
1,2,2,R22,0.307,0.307,400,800,8.52,8.94,2,1.23E-06,1.23E-06,2.02E-06,2.02E-06,0.006040348,0.006040348,1128.725593,1128.725593,66.11631453,66.11631453,0.07
2,2,2,R407C,0.332,0.332,400,800,8.52,8.94,2,1.15E-06,1.15E-06,1.57E-06,1.57E-06,0.00408347,0.00408347,1047.769165,1047.769165,87.49919331,87.49919331,0.07
3,2,2,R134a,0.25,0.25,400,800,8.52,8.94,2,1.41E-06,1.41E-06,2.47E-06,2.47E-06,0.006123003,0.006123003,1147.014909,1147.014909,49.9927661,49.9927661,0.07
4,3,1,R12,0.07,0.12,200,600,10.9,10.9,1,1.78E-06,1.55E-06,6.26E-06,3.97E-06,0.012075148,0.009800056,1402.093738,1344.891724,16.8450414,28.25025002,0.046
5,3,1,R134a,0.07,0.12,200,600,10.9,10.9,1,2.08E-06,1.78E-06,7.63E-06,4.76E-06,0.011543355,0.009372562,1297.497842,1243.681954,14.01703075,23.69791467,0.046
6,4,1,R22,0.08,0.16,230,720,12,18,1,1.78E-06,1.49E-06,6.46E-06,3.57E-06,0.012806808,0.0094997,1303.639918,1227.108029,17.15414232,33.7451712,0.084
7,4,1,R114,0.08,0.16,230,720,12,18,1,2.21E-06,1.79E-06,6.10E-06,3.38E-06,0.010246388,0.007555299,1435.336468,1353.604658,19.11251393,37.54981673,0.084
8,4,1,R12,0.08,0.16,230,720,12,18,1,1.72E-06,1.43E-06,5.59E-06,3.11E-06,0.011530744,0.008501535,1389.000671,1308.752332,19.12687932,37.45568194,0.084
9,4,1,R152a,0.08,0.16,230,720,12,18,1,2.09E-06,1.71E-06,8.38E-06,4.61E-06,0.011869843,0.008830396,938.2657434,882.3122229,11.3053459,22.38106022,0.084
10,5,1,Water,0.0272,0.1813,190,2780,,,1,1.89E-06,1.33E-06,4.50E-05,8.68E-06,0.046842889,0.025958975,908.584864,798.3632915,3.169443633,20.09100234,
11,6,0,,,,,,,,1,,,,,,,,,,,
12,7,1,R125,0.015,0.015,316,364,8.92,8.92,2,3.21E-06,3.21E-06,2.43E-05,2.43E-05,0.015435616,0.015435616,1555.737732,1555.737732,3.779863083,3.779863083,0.149
13,7,1,R134a,0.089,0.089,306,364,8.92,8.92,2,1.94E-06,1.94E-06,6.19E-06,6.19E-06,0.010599388,0.010599388,1274.872343,1274.872343,17.68368087,17.68368087,0.149
14,7,1,R32,0.164,0.164,312,364,8.92,8.92,2,1.37E-06,1.37E-06,4.55E-06,4.55E-06,0.010128933,0.010128933,1038.135698,1038.135698,25.80237918,25.80237918,0.149
15,7,1,R410A,0.188,0.188,313,364,8.92,8.92,2,1.27E-06,1.27E-06,3.03E-06,3.03E-06,0.007396909,0.007396909,1128.577512,1128.577512,42.00669498,42.00669498,0.149
16,7,1,R22,0.118,0.118,311,370,8.92,8.92,2,1.61E-06,1.61E-06,4.64E-06,4.64E-06,0.011002006,0.011002006,1263.426729,1263.426729,24.98772699,24.98772699,0.149
17,7,1,R407C,0.009,0.009,311,370,8.92,8.92,2,3.24E-06,3.24E-06,3.73E-05,3.73E-05,0.019076756,0.019076756,1419.88019,1419.88019,2.475320532,2.475320532,0.149
18,7,2,R125,0.032,0.032,194,468,8.92,8.92,2,2.62E-06,2.62E-06,1.28E-05,1.28E-05,0.013243023,0.013243023,1503.622189,1503.622189,7.697450441,7.697450441,0.149
19,7,2,R32,0.346,0.346,88,335,8.92,8.92,2,1.13E-06,1.13E-06,2.31E-06,2.31E-06,0.005778557,0.005778557,933.2455808,933.2455808,57.1221016,57.1221016,0.149
20,7,2,R410A,0.388,0.388,138,468,8.92,8.92,2,1.01E-06,1.01E-06,1.55E-06,1.55E-06,0.003597415,0.003597415,994.5926417,994.5926417,94.1340813,94.1340813,0.149
21,7,2,R134a,0.271,0.271,120,469,8.92,8.92,2,1.37E-06,1.37E-06,2.30E-06,2.30E-06,0.005747794,0.005747794,1133.970638,1133.970638,54.46827455,54.46827455,0.149
22,8,1,R407C,0.03,0.14,25,300,8.95,11.98,2,2.37E-06,1.53E-06,1.33E-05,3.47E-06,0.014997306,0.008443093,1343.742265,1193.321218,7.697697375,34.50841573,0.181
23,8,1,R410A,0.117,0.384,25,300,8.95,11.98,2,1.45E-06,1.01E-06,4.63E-06,1.57E-06,0.009724887,0.003653095,1190.336809,997.0489761,25.89440323,92.95831066,0.181
24,9,2,R22,0.239,0.389,200,400,6.23,6.41,2,1.33E-06,1.14E-06,2.52E-06,1.64E-06,0.007405213,0.004720734,1170.639001,1082.47329,50.73764526,85.87315995,0.15
25,9,2,R134a,0.293,0.367,120,500,6.51,8.37,2,1.33E-06,1.23E-06,2.14E-06,1.74E-06,0.005382035,0.004315359,1120.732976,1078.555786,59.24054558,76.0022848,0.15
26,9,2,R123,0.103,0.103,100,350,8.37,8.37,2,1.91E-06,1.91E-06,5.43E-06,5.43E-06,0.010053778,0.010053778,1341.188939,1341.188939,22.62898787,22.62898787,0.15
27,10,1,R22,0.08,0.69,100,620,2.1,14.8,2,1.78E-06,9.04E-07,6.46E-06,9.76E-07,0.012806808,0.001558255,1303.639918,920.0033392,17.15414232,177.5743736,0.094
28,10,1,R410A,0.08,0.69,200,600,2.1,14.8,2,1.60E-06,8.08E-07,6.47E-06,8.62E-07,0.011473473,0.000659744,1231.202779,795.0074325,17.78954083,216.0817256,0.094
