Manufacturer,Model,Refrigerant,Operating Condition,Displacement Volume,Capacity,Power,COP,Source,Minimum Voltage,Maximum Voltage,Frequency,Test Condition,Speed Type,Speed,Comments
Gree,QXF-A040,R32,T1,4,3712,293,3.71,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-A053,R32,T1,5.3,5060,399,3.72,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-A058,R32,T1,5.8,5323,420,3.71,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-A066,R32,T1,6.6,6398,491,3.82,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-A071,R32,T1,7.1,7029,560,3.68,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-M082,R32,T1,8.2,7909,580,4,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-M086,R32,T1,8.6,8308,608,4,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-M088,R32,T1,8.8,8632,645,3.92,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-M091,R32,T1,9.1,8871,666,3.9,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B092,R32,T1,9.2,8939,647,4.05,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B098,R32,T1,9.8,9622,696,4.05,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B102,R32,T1,10.2,9997,718,4.08,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B117,R32,T1,11.7,11447,822,4.08,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B120,R32,T1,12,11686,835,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B129,R32,T1,12.9,12624,911,4.06,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-B133,R32,T1,13.3,13034,936,4.08,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-C150,R32,T1,15,14740,1041,4.15,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-D175,R32,T1,17.5,17231,1208,4.18,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-D184,R32,T1,18.4,18118,1270,4.18,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-D193,R32,T1,19.3,19005,1333,4.18,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E193,R32,T1,19.3,19175,1338,4.2,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E20,R32,T1,20,19755,1385,4.18,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E21,R32,T1,21,20643,1476,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E22,R32,T1,22,21649,1548,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E232,R32,T1,23.2,22808,1630,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E24,R32,T1,24,23594,1666,4.15,AC,220,240,50,HP,Fixed,2900,
Gree,QXF-E27,R32,T1,27,26560,1876,4.15,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-E270,R32,T1,27,26272,1878,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-E280,R32,T1,28,27228,1945,4.1,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-F265,R32,T1,26.5,26494,1880,4.13,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-F275,R32,T1,27.5,27264,1935,4.13,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-F325,R32,T1,32.5,32073,2350,4,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-F356,R32,T1,35.6,34973,2615,3.92,AC,220,240,50,HP,Fixed,2900,
Gree,QXFS-F265s,R32,T1,26.5,26443,1824,4.25,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-F286s,R32,T1,28.6,28320,1975,4.2,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-F41s,R32,T1,41,40944,2965,4.05,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-F275s,R32,T1,27.5,27441,1892,4.25,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-H446s,R32,T1,44.8,44800,3110,4.23,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-H49s,R32,T1,49,49800,3520,4.15,AC,380,380,50,HP,Fixed,2900,
Gree,QXFS-H59s,R32,T1,59,59700,4220,4.15,AC,380,380,50,HP,Fixed,2900,
Gree,QXF-A044x,R32,T1,4.4,5135,385,3.91,AC,115,115,60,HP,Fixed,3500,
Gree,QXF-A053x,R32,T1,5.3,6261,469,3.91,AC,115,115,60,HP,Fixed,3500,
Gree,QXF-A066x,R32,T1,6.6,7882,570,4.05,AC,115,115,60,HP,Fixed,3500,
Gree,QXF-A068x,R32,T1,6.9,8155,585,4.09,AC,115,115,60,HP,Fixed,3500,
Gree,QXF-A083x,R32,T1,8.3,9792,705,4.07,AC,115,115,60,HP,Fixed,3500,
Gree,QXF-M098x,R32,T1,9.8,11823,862,4.02,AC,115,115,60,HP,Fixed,3500,
Gree,QXD-A088,R290,T1,8.8,4625,430,3.15,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-M142,R290,T1,14.2,7628,665,3.36,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-B139※,R290,T1,13.9,7338,630,3.41,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-B160※,R290,T1,16,8259,710,3.41,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-B172,R290,T1,17.2,8972,770,3.4,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-B184,R290,T1,18.4,9761,830,3.44,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-B222,R290,T1,22.1,11263,985,3.35,AC,220,240,50,ASH,Fixed,2900,
Gree,QXD-C238,R290,T1,23.8,12287,1070,3.41,AC,220,240,50,ASH,Fixed,2900,
Gree,ATz-AN088ACBA,R410A,-,8.8,10776,771,4.1,DC,-,-,-,GX,INV,2900,
Gree,ATz-AN095ACBA,R410A,-,9.5,11628,832,4.1,DC,-,-,-,GX,INV,2900,
Gree,ATz-AN095ACBA*A,R410A,-,9.5,11628,802,4.25,DC,-,-,-,GX,INV,2900,
Gree,ATz-AN108AHBA,R410A,-,10.8,13333,954,4.1,DC,-,-,-,GX,INV,2900,
Gree,ATz-AN108AHBA*A,R410A,-,10.8,13333,920,4.25,DC,-,-,-,GX,INV,2900,
Gree,ATz-SN150AXBA,R410A,-,15,18261,1245,4.3,DC,-,-,-,GX,INV,2900,
Gree,ATz-AA098AHBA,R410A,-,9.8,11959,845,4.15,DC,-,-,-,GX,INV,2900,
Gree,ATz-AA098AHBA*A,R410A,-,9.8,12300,820,4.4,DC,-,-,-,GX,INV,2900,
Gree,ATz-AA108AHBA,R410A,-,10.8,13273,955,4.07,DC,-,-,-,GX,INV,2900,
Gree,ATz-AA108AHBA*A,R410A,-,10.8,13348,890,4.4,DC,-,-,-,GX,INV,2900,
Gree,ATz-SM141AHBA,R410A,-,14.1,17094,1205,4.16,DC,-,-,-,GX,INV,2900,
Gree,ATz-SM151AXBA,R410A,-,15.1,18357,1295,4.15,DC,-,-,-,GX,INV,2900,
Gree,ATz-SM151AXBA*A,R410A,-,15.1,18725,1245,4.41,DC,-,-,-,GX,INV,2900,
Gree,ATz-SB238ANAA,R410A,-,23.8,29616,2042,4.25,DC,-,-,-,GX,INV,2900,
Gree,ATz-SD237AHAF,R410A,-,23.7,29667,2037,4.27,DC,-,-,-,GX,INV,2900,
Gree,ATz-SF420ANAB,R410A,-,42,52514,3540,4.35,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN066ACBA,R32,-,6.6,8525,585,4.27,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN075ACBA,R32,-,7.5,9684,665,4.27,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN088ACBA,R32,-,8.8,11355,775,4.3,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN095ACBA,R32,-,9.5,12276,835,4.3,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN095ACBA*A,R32,-,9.5,12583,830,4.45,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN108AHBA,R32,-,10.8,13811,945,4.29,DC,-,-,-,GX,INV,2900,
Gree,FTz-AN108AHBA*A,R32,-,10.8,14271,940,4.45,DC,-,-,-,GX,INV,2900,
Gree,FTz-SN150AXBA,R32,-,15,19505,1300,4.4,DC,-,-,-,GX,INV,2900,
Gree,FTz-AA098AHBA,R32,-,9.8,12696,865,4.3,DC,-,-,-,GX,INV,2900,
Gree,FTz-AA098AHBA*A,R32,-,9.8,13123,845,4.55,DC,-,-,-,GX,INV,2900,
Gree,FTz-AA108AHBA,R32,-,10.8,14083,960,4.3,DC,-,-,-,GX,INV,2900,
Gree,FTz-AA108AHBA*A,R32,-,10.8,14522,935,4.55,DC,-,-,-,GX,INV,2900,
Gree,FTz-SM151AXBA,R32,-,15.1,19949,1285,4.3,DC,-,-,-,GX,INV,2900,
Gree,FTz-SM151AXBA*A,R32,-,15.1,19949,1285,4.55,DC,-,-,-,GX,INV,2900,
Gree,FTz-SB238ANAA,R32,-,23.8,33248,2143,4.55,DC,-,-,-,GX,INV,2900,
Gree,FTz-SF420ANAB,R32,-,42,55583,3567,4.57,DC,-,-,-,GX,INV,2900,
Gree,QXA-A058,R410A,T1,5.8,4640,490,2.78,AC,220,240,50,ASH,Fixed,2900,
