,id,mode,fluid,Pr_min,Pr_max,G_min,G_max,D_min,D_max,tube_type,mu_f_min,mu_f_max,mu_g_min,mu_g_max,K_f_min,K_f_max,K_g_min,K_g_max,Sur_ten_f_min,Sur_ten_f_max,Pr_f_min,Pr_f_max,Pr_g_min,Pr_g_max,rho_f_min,rho_f_max,rho_g_min,rho_g_max,deviation
0,3,1,R11,0.0091,0.205,13,4579,6,25,1,523.5039244,190.7353097,9.327282891,12.94089872,94.11290046,65.07351372,7.412014107,12.38877842,21.07745254,8.279747202,4.778007807,2.928957188,0.724283071,0.78946846,1534.215675,1261.954625,2.47470867,47.4857992,0.188
1,3,1,R12,0.073,0.704,104,4850,6.66,20.5,1,246.846955,81.1052791,10.58734965,17.44166073,76.0596437,43.63787638,8.821541668,19.57361419,11.90541401,1.273352476,3.027930547,2.933800204,0.754125485,1.361266232,1398.047418,973.6026055,17.53008128,201.0897474,0.188
2,3,1,R22,0.114,0.216,80,867,10.16,20,1,206.4154654,162.2288028,11.54131955,12.57189878,92.87358437,82.9387269,9.692125755,11.44565581,11.16725751,7.944944311,2.625020783,2.468952951,0.901759431,0.967144901,1267.25098,1185.973882,24.160453,45.70544968,0.188
3,3,1,R113,0.08,0.242,165,1523,8.1,8.1,1,356.5572083,225.5224699,12.03358014,13.84578069,60.70264222,51.57599023,11.34851896,14.58345572,11.13058818,6.372284144,5.750302642,4.630756097,0.788586447,0.804935571,1422.117722,1278.118715,18.84325322,56.31130995,0.188
4,3,1,R114,0.135,0.454,157,1313,20,20,1,259.9405153,145.0930658,12.39443972,16.05000373,56.96338093,44.7195487,12.11348821,16.48545092,8.241905289,3.04543941,4.723903438,3.95146734,0.78649368,0.983959094,1375.894627,1159.82653,31.73718354,114.510536,0.188
5,3,1,R152a,0.027,0.053,140,713,9,9,1,280.9226985,226.4025143,8.48405088,9.065790598,118.2323636,110.2010701,9.853531497,11.65310979,15.95586849,13.51146453,3.887552455,3.467979193,0.857030881,0.839360116,1002.200484,965.1654616,4.018659922,7.612848326,0.188
6,6,2,R22,0.239,0.389,100,750,8,8,1,155.4331535,123.0146163,12.77499521,14.05693714,81.1936418,71.91677461,11.80980979,14.22809534,7.405212503,4.720733959,2.451843245,2.426849443,0.98252798,1.098745294,1170.639001,1082.47329,50.73764526,85.87315995,0.08
7,6,2,R134a,0.19,0.325,100,750,8,8,1,183.0159496,141.6948511,11.90881587,12.91925162,78.97126136,70.40910512,14.34109903,16.74009363,7.375095221,4.892838217,3.352716861,3.152441032,0.885059907,0.962023793,1187.272868,1102.113955,37.58855951,66.34725217,0.08
8,6,2,R410A,0.384,0.625,100,750,8,8,1,101.0175531,71.34105125,14.58064974,17.44230158,83.0292781,72.25393141,18.46146999,29.82663573,3.653094953,1.112231311,2.271977485,2.735306601,1.359223972,1.934200109,997.0489761,844.6145676,92.95831066,181.396997,0.08
9,6,2,R32,0.333,0.543,100,750,8,8,1,107.2864043,83.24332322,13.12273676,14.71613861,122.1343023,107.0516789,16.02234716,22.81224068,6.008409022,3.075306344,1.753984722,1.895571659,1.401181281,1.597214887,939.8085416,839.3857441,54.7093924,98.48386659,0.08
10,1,2,R11,0.035,0.035,258,258,12.8,12.8,1,356.3172191,356.3172191,10.51852282,10.51852282,83.65105628,83.65105628,8.939844978,8.939844978,16.38737299,16.38737299,3.800448586,3.800448586,0.735900801,0.735900801,1449.434294,1449.434294,8.662675067,8.662675067,0.035
