id,type,Fin_P_1_min,Fin_P_1_max,Fin_P_2_min,Fin_P_2_max,Fin_P_3_min,Fin_P_3_max,Pl_min,Pl_max,Pt_min,Pt_max,N_min,N_max,Fp_min,Fp_max,Analysis type,Do_min,Do_max,f_dev,j_dev
1,Plain,,,,,,,16,22,19,25.4,1,4,1.64,2.65,1,9.956,9.956,0.0275,0.02
2,Plain,,,,,,,12.4,27.5,17.7,31.75,1,6,1.19,8.7,1,6.35,12.7,0.0735,0.0831
3,Louvered,0.79,1.3,1.7,3.75,,,13.6,22,17.7,25.4,1,6,1.2,2.49,1,6.93,10.42,0.0572,0.0873
4,Slit,0.99,2,1,2.2,3,7,12.7,33,20,38,1,6,1.2,2.5,1,7.52,16.3,0.0726,0.0718
5,Slit,,,,,,,12.7,12.7,21.65,21.65,2,3,1.3,1.7,1,7.264,7.264,0.15,0.2
6,Wavy,,,,,,,19.05,29.4,25.4,29.4,1,4,1.69,3.53,1,10.3,10.3,0.1,0.15
7,WavyLouvered,,,,,,,19.05,19.05,25.4,25.4,1,4,1.21,2.54,1,8.54,8.54,0.1,0.15
8,Plain,,,,,,,22,22,25.4,25.4,2,6,1.74,3.21,1,10.23,10.23,0.041,0.065
9,WavyLouvered,,,,,,,19.05,19.05,25.4,25.4,2,4,1.69,2.54,1,10.06,10.06,0.1,0.15
10,Wavy,4.58,7.35,0.71,3.18,,,19.05,29.4,25.4,31.8,1,4,1.96,4.6,1,9.53,12.7,0.1,0.1
1,Plain,,,,,,,22,22,25.4,25.4,2,6,1.82,3.2,2,10.23,10.23,0.1,0.1
2,Louvered,1.07,1.07,2,2.35,,,19.05,22,25.4,25.4,1,2,1.21,2.49,2,10.33,10.33,0.0594,0.061
3,Slit,,,,,,,12.7,12.7,21.65,21.65,2,3,1.3,1.7,2,7.264,7.264,0.15,0.2
4,Wavy,,,1.18,1.58,,,19,19 - 22,25.4,25.4,1,6,1.7,3.1,2,8.62,10.38,0.0576,0.0827
5,Plain,,,,,,,21,21 – 25.4,12.4,12.4 - 22,1,6,1.19,3.2,2,7.53,10.34,0.0633,0.0951
6,Wavy,37.5,37.5,10,17.5,,,,,,,,,5.8,11.6,2,5.5,16.6,0.0252,0.0481
